target,execution time in ns
./build/benchmark_no_thread__b,129081422
./build/benchmark_no_thread__b,129541668
./build/benchmark_no_thread__b,127813318
./build/benchmark_no_thread__b,127796781
./build/benchmark_no_thread__b,139074034
./build/benchmark_no_thread__b,128054669
./build/benchmark_no_thread__b,125818907
./build/benchmark_no_thread__b,143290767
./build/benchmark_no_thread__b,134733981
./build/benchmark_no_thread__b,143802956
./build/benchmark_no_thread__b took about 0.133 s on average,
./build/dlr_opencv__b,124136270
./build/dlr_opencv__b,109470191
./build/dlr_opencv__b,127178274
./build/dlr_opencv__b,110215567
./build/dlr_opencv__b,123109390
./build/dlr_opencv__b,115653944
./build/dlr_opencv__b,120625815
./build/dlr_opencv__b,108731236
./build/dlr_opencv__b,107555323
./build/dlr_opencv__b,113312056
./build/dlr_opencv__b took about 0.116 s on average,
./build/opencv_benchmark__b,224074898
./build/opencv_benchmark__b,195369625
./build/opencv_benchmark__b,194073177
./build/opencv_benchmark__b,188205780
./build/opencv_benchmark__b,160994900
./build/opencv_benchmark__b,159718776
./build/opencv_benchmark__b,172762956
./build/opencv_benchmark__b,158703764
./build/opencv_benchmark__b,155963950
./build/opencv_benchmark__b,159491475
./build/opencv_benchmark__b took about 0.177 s on average,
